"SAMPLE.ID","LAB.ID","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","REPORT.BASIS","PERCENT.MOISTURE","PERCENT.SOLID","non.detect","duplicate","location.name","treatment.name","method.name","event.type"
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.24,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.21,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1","HS22090500-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1","HS22090500-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-2","HS22090500-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",2.2,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-3","HS22090500-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.117,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-5","HS22090500-04","E200.8 - 200.8","7782-49-2","Selenium",9.24,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.21,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.17,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1-D","HS22090500-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-1-D","HS22090500-05","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-2-D","HS22090500-06","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.97,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-3-D","HS22090500-07","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.428,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST1-07-OTLC-5-D","HS22090500-08","E200.8 - 200.8","7782-49-2","Selenium",9.26,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST1","Low-Cost Sampler","Outflow"
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",0.904,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",0.904,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1","HS22090500-09","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1","HS22090500-09","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-2","HS22090500-10","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0.88,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-3","HS22090500-11","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.273,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-5","HS22090500-12","E200.8 - 200.8","7782-49-2","Selenium",10.7,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",1.24,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.2,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1-D","HS22090500-13","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
"AVST2-07-OT-1-D","HS22090500-13","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,TRUE,"AVRC STAR","ST2","ISCO","Outflow"
